Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
363,João Moutinho,pt POR,MF,Wolves,35,1986,31,20,"1,780",19.8,0,2,2,0,0,0,3,0
364,Divin Mubama,eng ENG,FW,West Ham,17,2004,3,0,38,0.4,0,0,0,0,0,0,0,0
365,Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,21,2001,15,7,657,7.3,0,2,2,0,0,0,1,0
366,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,1995,36,14,"1,251",13.9,4,2,6,4,0,0,0,0
367,Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,1998,6,2,213,2.4,0,1,1,0,0,0,0,0
368,Vitaliy Mykolenko,ua UKR,DF,Everton,23,1999,34,30,"2,655",29.5,0,0,0,0,0,0,4,0
369,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,1986,17,17,"1,529",17.0,0,0,0,0,0,0,2,0
370,Wilfred Ndidi,ng NGA,MF,Leicester City,25,1996,27,19,"1,679",18.7,0,0,0,0,0,0,4,0
371,Reiss Nelson,eng ENG,FW,Arsenal,22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0
372,Neto,br BRA,GK,Bournemouth,33,1989,27,27,"2,385",26.5,0,0,0,0,0,0,4,0
373,Pedro Neto,pt POR,"FW,MF",Wolves,22,2000,18,13,964,10.7,0,0,0,0,0,0,1,0
374,Rúben Neves,pt POR,MF,Wolves,25,1997,35,33,"3,019",33.5,6,1,7,3,3,3,12,0
375,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,26,1996,14,14,"1,163",12.9,0,0,0,0,0,0,1,0
376,Rasmus Nissen,dk DEN,DF,Leeds United,25,1997,26,21,"1,960",21.8,3,1,4,3,0,0,4,0
377,Eddie Nketiah,eng ENG,FW,Arsenal,23,1999,30,9,"1,089",12.1,4,1,5,4,0,0,3,0
378,Matheus Nunes,pt POR,MF,Wolves,23,1998,34,30,"2,467",27.4,1,1,2,1,0,0,2,1
379,Darwin Núñez,uy URU,FW,Liverpool,23,1999,29,19,"1,695",18.8,9,3,12,9,0,0,1,1
380,Ethan Nwaneri,eng ENG,FW,Arsenal,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0
381,Christian Nørgaard,dk DEN,MF,Brentford,28,1994,22,21,"1,763",19.6,1,3,4,1,0,0,6,0
382,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,1998,13,6,584,6.5,1,0,1,1,0,0,2,0
383,Odeluga Offiah,eng ENG,DF,Brighton,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0
